title;description;url;image
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://pythonhow.com;11.png
Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;https://pythonhow.com;12.png
Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;https://pythonhow.com;13.png
Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;https://pythonhow.com;14.png
Visualizing Data;A program that visualizes the data collected in the previous monitoring program. ;https://pythonhow.com;15.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://pythonhow.com;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://pythonhow.com;17.png
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://pythonhow.com;18.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://pythonhow.com;19.png
Online Store;A Django online store app where users can place orders and sellers can manage them.;https://pythonhow.com;20.png
DevSearch blog;Platform where users can find developers,register and share projects.;https://github.com/cozanostra7/Meta-App;11.png
Online Store;A Django online store app where users can place orders and sellers can manage them.;https://github.com/cozanostra7/shopstore;20.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://cozanostra7-weather-forecast-with-api-main-nxutxs.streamlit.app/;16.png
To do App;An app where users can manage theirs todos.;https://cozanostra7-my-to-do-app-web-wlhwm6.streamlit.app/;1.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://;30.png
